Name,Age,Nationality,Potential,Club,Value,Wage,Preferred Foot,Skill Moves,Position,Joined,Contract Valid Until
16077,1.04453705615688,20,1.74252455963255,531,21000,-0.396901525477621,1,2.17064139046337,12,2013,29
4133,2.32938467566696,139,1.74252455963255,401,8000,0.103128334170249,1,2.17064139046337,26,2014,0
3055,2.54352594558531,139,1.74252455963255,232,1500,0.0122138142342724,0,-1.80090597122557,5,2015,3
5312,0.616254516320189,128,1.57956062533339,367,18500,-0.396901525477621,1,2.17064139046337,26,2018,30
11847,1.47281959599358,123,1.57956062533339,367,14000,-0.396901525477621,1,2.17064139046337,12,2014,3
6781,0.616254516320189,20,1.41659669103423,531,11500,-0.396901525477621,0,2.17064139046337,7,2013,31
571,1.68696086591192,144,1.41659669103423,17,700,-0.442358785445609,1,-0.477056850662586,8,2016,3
6559,1.90110213583027,128,1.41659669103423,367,4500,-0.396901525477621,1,0.846792269900393,20,2013,3
5423,1.90110213583027,139,1.41659669103423,513,8000,0.0122138142342724,1,0.846792269900393,13,2018,3
821,0.187971976483496,128,1.57956062533339,17,700,-0.442358785445609,1,-1.80090597122557,5,2016,3
2109,-0.240310563353197,136,1.57956062533339,195,15500,-0.396901525477621,1,2.17064139046337,12,2018,31
15418,-0.240310563353197,139,1.90548849393172,260,11500,0.148585594138237,1,-1.80090597122557,5,2016,21
17145,0.402113246401843,26,1.41659669103423,549,14500,-0.396901525477621,0,2.17064139046337,26,2015,29
6717,0.830395786238536,128,1.25363275673506,17,700,-0.442358785445609,1,0.846792269900393,17,2016,3
7224,1.68696086591192,120,1.25363275673506,367,7500,-0.396901525477621,1,2.17064139046337,0,2017,25
15007,-0.454451833271544,81,2.06845242823088,449,14000,0.103128334170249,1,2.17064139046337,14,2018,25
9530,-1.09687564302658,133,2.39438029682921,198,15500,0.103128334170249,1,0.846792269900393,13,2016,21
1193,-0.240310563353197,128,1.74252455963255,549,9500,-0.396901525477621,1,-1.80090597122557,5,2016,29
